short_descriptions,priority
zsrs request with updated survey,MEDIUM
pfizer com process the vxrelocd process has stopped escalate asap unix,LOW
hr viraj rpa error found on macro master all output creation unable to create the dq error file,MEDIUM
ireland offices closed,MEDIUM
docking station not responding,MEDIUM
fnokia cisco anyconnect certificate validation failure,LOW
update email d list,MEDIUM
application ee linsee unable to login,LOW
robot scripts can t connect to webem machine,MEDIUM
create dhcp reservations,CRITICAL
software center faq how can i find a software package that i had in falu environment,LOW
leave request error in eleave tool,LOW
import to q,MEDIUM
tax decision maker world,LOW
update hb decision table ro,MEDIUM
svo available in the tool,LOW
it corner concierge,LOW
no network on wlan and lan,MEDIUM
fw albertson s distribution question data investigation,MEDIUM
re itpol deployment,LOW
mfa correlation id,LOW
p nun bme new lab detected,MEDIUM
webex event center not able to login webex event,LOW
it corner concierge,LOW
office outlook when creating schedule meeting user unable to see the calendar s schedules,MEDIUM
please re discovery the ci and update us,LOW
support ticket number,LOW
retrieve talent data for andrijana vukovic,MEDIUM
network account locked out unable to login,MEDIUM
p nun nokia proactive recurrent infection clean failed symantec,MEDIUM
unable to open virtual pc,MEDIUM
bt access to q system,CRITICAL
dp issue failures for amer bs gp ct,HIGH
move to next approver,LOW
software fmo unable to connect to lan connected but no internet,LOW
my computer workstation,LOW
office outlook unable to open outlook,MEDIUM
p nun nokia x force premium internal host communication with malware url,MEDIUM
vendor not visible although extended for i buy,LOW
virtual call center vcc call quality is bad,LOW
assign of position,CRITICAL
fw adobe acrobat pro dc,MEDIUM
pfizer com logmonitor unix linux networking errors escalate and investigate issues asap unix syslog pfeunix networking errors linux,HIGH
it corner concierge,LOW
it corner concierge,LOW
moscow plantvisit cchellenic com,MEDIUM
nokia ff support cancellation of po´s,LOW
ad assign access,CRITICAL
it corner concierge,LOW
cz blocked sender cchellenic server cid dart werbung de,MEDIUM
loss of intranet access from work sites after logging into support account for usa aventail site,LOW
unable to access outlook follow up,MEDIUM
recall service request task has been assigned to shubhankar kumar cw,MEDIUM
in continuation to ticket,MEDIUM
please help us investigate why the user jennifer ogrady nokia com csl jeogrady doesn t have the confiramtion nor confirmations for team carts tabs on her,LOW
follow me printer registering new badge,LOW
keeps getting locked out of laptop,MEDIUM
ccr monitoring double source in,LOW
jabber chat jessica palafox nokia com appears as my name when sending a message to my colleagues,LOW
office excel performance issue not able to extract data for with wbs,LOW
asap exclude user from idm replication,CRITICAL
enh all uk technical users sap dms document workflow owners,LOW
dp issue failures for emea bs gp ct,HIGH
it corner concierge,LOW
netwrix auditor inactive users in active directory report mocr otsuka com,MEDIUM
sap run time error massage while processing fluping,LOW
pfizer com down solaris zone,LOW
p nun nokia application connectify detected on host symantec log source,MEDIUM
cisco anyconnect connection fault,MEDIUM
ourtalent access denied,LOW
lawson psa delete access request,LOW
it corner concierge,LOW
break fix emea pfizer com cpqdaaccel intel,HIGH
jabber other messages are not sent and getting failed with error,LOW
jabber phone services issue with jabber phone services not connected,LOW
qa nols not operating,LOW
software fmo system tray not resizing,LOW
accessible powerbi tool but data not available,LOW
support portal mailbox getting locked,HIGH
all users company wrongly mapped in sales force need to correct it as nam swan a s,LOW
access request to colleague s calendar,LOW
process chain failure,LOW
oneclickmeeting occupancy status of cec meeting room taipei taiwan,LOW
zachary baudoin cw otsuka us com fw request for add edit permission,MEDIUM
unable to connect to vpn,LOW
investigate if mdm works and why the attached files failed to be transferred to atlas,LOW
hr add user to ctry ba pdt,MEDIUM
created cni disappears,LOW
hvd connection issue,LOW
last log on information,CRITICAL
cares account reactivation request,LOW
pl changing operating days hours for the csc lines,MEDIUM
nokiameetings sreen sharing lateness,HIGH
jabber spam calls,LOW
unable to skype meeting in outlook,MEDIUM
cares user michael verizonwireless com unable to access cares,LOW
amer pfizer com down intel,HIGH
mk add new vendor in planon,CRITICAL
https ext net nokia com unable to log in,LOW
bso add user to country approvers team,MEDIUM
re please fill the survey for the incident,MEDIUM
remove entry with annual leave wrongly chose retraction,LOW
cares remedy arerr authentication failed,MEDIUM
user doesn t have write access to svn,LOW
smtp intermittent issue in mailrelay int nokia com,MEDIUM
windows keeps on changing focus when typing,MEDIUM
user georgios porfyris telia no getting error – repeating password issue,LOW
cannot start my hvd windows persistent europe,LOW
grant user permission to na display services,LOW
orders where specs completed but the status in mesa does not show complt,LOW
please update name in ad from all uppercase mathangi ashok to mixed case mathangi ashok,MEDIUM
support portal nols application issues,LOW
unable to login to support portal,LOW
nokiameetings mc nokiameetings unable to setup webex meeting invite via outlook,LOW
dp issue bs gp ct,HIGH
please create new ticket very slow file system on server emea nsn net net,LOW
account unlock request,MEDIUM
cz cti user based on,CRITICAL
amer pfizer com down intel vm guest,HIGH
jabber phone services jabber phone services disconnected,LOW
request completed but still not available,LOW
pl cti lines close,MEDIUM
senegal document is incomplete billing can t be carried out sales document type mismatch,LOW
sap statistics server alert,MEDIUM
access to ftp server,MEDIUM
unable to install application on software center,LOW
it corner concierge,LOW
users account is locked,MEDIUM
computer unable to boot into log in screen,MEDIUM
issue with connecting to otsuka guest and emailing photos from cellular phone to business email address,MEDIUM
ch altibox user issue,LOW
webex meeting center unable to set meeting,LOW
unable to open images in sap,LOW
unable to install application in software center,MEDIUM
please create online arhive for users mailbox anastasiya maksimenko cchellenic com,MEDIUM
international movement inside cch termination,MEDIUM
catherine weiss otsuka us com change to a sharepoint page,MEDIUM
printer compatibility question for new ipad,MEDIUM
dp issue failures for amer bs gp ct,HIGH
nokiameetings pre post meeting experienced issues enter site url,LOW
it corner concierge,LOW
gr enable smtp authentication,MEDIUM
software fmo es windows windows error,LOW
mouse on ipad,MEDIUM
mbq server is down,LOW
send to ariba network failed permanently for po,LOW
pfizer com increased severity as incident repeated times the asset can no longer be reached ops center pfe oem ops center alert guest ldom,HIGH
trackwise running application,MEDIUM
it user copy and in,MEDIUM
please create new distribution group lc td russia lc td russia cchellenic com,MEDIUM
it corner concierge,LOW
mfa request correction,MEDIUM
user mahmoud osman ogero gov lb unable to download nfm p software,LOW
user request assistance unable to access bomgar,MEDIUM
pl windows not starting,MEDIUM
it corner concierge,LOW
network drive unable to connect,MEDIUM
failed to download file from linsee server with common account,LOW
user andrew cameron centurylink com account need to be corrected in sp back end,LOW
jabber phone services unable to make calls previous ticket,MEDIUM
tpst robo sends emails with wrong email headers to camunda,MEDIUM
unable to access hvd,LOW
not able to access server hospira corp,MEDIUM
laptop pc display issue,LOW
sharepoint web part problem,LOW
living well at otsuka access,MEDIUM
it corner concierge,LOW
ndpd bi report not generated,LOW
emea pfizer com down intel,LOW
issues with old ipad,MEDIUM
pl feedback issue on receiving calls oobh and to personal number,LOW
jabber mobile unable to call numbers wth indian country code unable to change phone settings,LOW
bg user requested assistance with unlocking her ad account,MEDIUM
support portal error,LOW
ticket closed missing system selection in sso drop down hi,MEDIUM
bitlocker bitlocker recovery key request,LOW
it corner concierge,LOW
unable to access jabber failed to start a new session,LOW
trouble with laptop,LOW
laptop reimaging request,LOW
hfm report can not be got liu mei,LOW
p nun nokia exploit multiple exploit types against single destination,MEDIUM
ru edi please setup message recadv for customer miratorg,MEDIUM
user still cannot access https int net nokia com,MEDIUM
fw modules will not load,MEDIUM
ee linsee application issues,LOW
cz based on pending closure notes from acces to share disk,CRITICAL
idr manager did not receive notification to approve,LOW
problem please recover for field sales manager access to sap,MEDIUM
missing application in software center unable to launch software center,MEDIUM
my virtual destop can not get network connection,LOW
hardware cannot start laptop,MEDIUM
kr delve change im address in https eur delve office com,LOW
activate user asap,CRITICAL
it please assign license to,MEDIUM
dp issue lrg issue,HIGH
my computer workstation,LOW
pfizer com logmonitor unix linux networking errors escalate and investigate issues asap unix syslog pfeunix networking errors linux,HIGH
hardware fan noise,LOW
mass changes for ru users arc team russia check,MEDIUM
rr not able to tag svo as sales item is not visible,LOW
pie gl access required,LOW
it corner concierge,LOW
request was completed but still unable to see see na deployment,LOW
unable to login into laptop,MEDIUM
no access to my,MEDIUM
hu ifsa role requested for user urgent,MEDIUM
gr assign role,MEDIUM
pl additional role sap,MEDIUM
re priority has been assigned to your group user account form approved damian reed cw otsuka us com grams credo,MEDIUM
ru hvd access issue,LOW
re credo support request for folder deletion,MEDIUM
rp nsa unix request,LOW
assign the otms training olt to karen pratzner,MEDIUM
pl vpn issue,CRITICAL
user paul dozier verizonwireless com need hws order entry access,LOW
create ad account for,CRITICAL
laptop keeps on freezing,MEDIUM
p nun nokia x force premium internal connection to host categorized as malware event type,MEDIUM
rs roles planning cockpit new production execution,MEDIUM
amer pfizer com cpqclusternode intel,HIGH
incomplete authorization on and,MEDIUM
it corner concierge,LOW
software center is empty,LOW
re zte niger unable to access niger zte ems,HIGH
unable to open hvd,MEDIUM
open a ticket alliance issue register cdr massive file,LOW
user hernan bravo claro com co getting error sso – user can not be created,LOW
bg cch contractor raluca eliu onmicrosoft com,MEDIUM
pfizer com logmonitor nfs server is not responding linux,HIGH
user needs help setting up outlook on phone,MEDIUM
cannot be deleted,MEDIUM
increase in space hellenic brand marketing,MEDIUM
hr create aw user,MEDIUM
change password page always appears when user logins to the portal j mladenov bg,LOW
security certificate expired,LOW
my computer workstation,LOW
sent job to wrong printer,MEDIUM
software fmo desk side assistance for reimaging n,LOW
re re nokia ff support support cancel po,LOW
application server is down ro alcatel lucent com,HIGH
exchange two user,CRITICAL
export tables from sap mdm data manager,MEDIUM
user unable to login steffen wiedenhoefer netcom bw de,LOW
hu unable to access a share drive,LOW
secondary account christina i got a software delivery error,LOW
user yasinozgur akgul turktelekom com tr – repeating password issue,LOW
mailbox client issue personal mailbox unable to send email to a specific user,LOW
follow up needed for em exception smarts cmdb discovery error snmp agent does not respond,MEDIUM
it corner concierge,LOW
change last name in mail,MEDIUM
re request for bonzai version upgrade,MEDIUM
it corner concierge,LOW
bpp unable to access transaction no request article related in it portal,LOW
hvd is not working properly,MEDIUM
permisstion to ccbu cchellenic com for olexii nazarenko,MEDIUM
software fmo pxe error,LOW
add users to ad group g rpa admins abcc,MEDIUM
access to hpqc audit purposes,CRITICAL
pc hardware laptop battery concerns,LOW
ro ifsa ad hoc data refresh,CRITICAL
application went missing in software center,LOW
csv autogenerated files not received after live run on sap sulo cost files,LOW
p nun nokia system device has stopped sending events offense generation,MEDIUM
ch sap role required,MEDIUM
it corner concierge,LOW
p nun nokia system device has stopped sending events offense generation,MEDIUM
retrieve webex recording,LOW
adobe acrobat pro,MEDIUM
pt open ssl ca certificate error connecting to,LOW
wintel goa servers vulnerability remediation,MEDIUM
active directory and citrix,MEDIUM
it corner concierge,LOW
some files missing when copying files from onedrive,MEDIUM
access denied on mobaxterm,LOW
ndpd siteforge issue,LOW
support portal bt users setup,LOW
idm asks for password for cimgr account in marcousis,MEDIUM
proxy error is coming up while downloading the report from web link,HIGH
issue oss windows image installation,LOW
rest api of pronto tool provides incorrect data for deadline field,MEDIUM
visio online unlicensed not activated,LOW
unable to login congo core,HIGH
please re activate volker krehut for the use of the support portal,LOW
re priority has been assigned to you data steward dl group request,MEDIUM
new blootooth mouse not working,MEDIUM
p nun nokia hacktool mimikatz detected on host,MEDIUM
issue with logging into computer,MEDIUM
software fmo pxe error,MEDIUM
p nun nokia security risk found on host,MEDIUM
emea pfizer com cpqheflttolpowersupply intel,HIGH
user sylvia signature towers com getting error sso login failed,LOW
read only issue in the var fpworkci of the host,MEDIUM
old version of bi report,MEDIUM
at name change request,MEDIUM
cannot log in to jira,LOW
see notice that i received this morning is this legitimate do i need to perform this back up thanks,MEDIUM
my computer workstation not powering on,MEDIUM
functional user lost jiradc acces privileges,MEDIUM
lost rights artifactory repositories,LOW
urgent vendor payments,LOW
re open cares ar,LOW
nagios host deletion,MEDIUM
amer pfizer com devcapacity monitor disk utilization for c exceeds devcapacity intel,MEDIUM
hardware laptop not powering on,MEDIUM
process call of smpid stuck in ndpd for indosat project,MEDIUM
hu new campari survey,MEDIUM
emea nsn net net couldn t be connected,LOW
traffica rise is down,HIGH
it corner concierge,LOW
dct tool not working,MEDIUM
outlook continues to say need password or no connection and will not retrieve or send email,LOW
change for plant,MEDIUM
switching of staging connection from otm qa to otm int env,LOW
support portal lorenzo valentini telecomitalia it password issue,LOW
taichung office was lost office lan connection and printing,LOW
incorrect user access type,LOW
leaves needs to be revoked for,LOW
set up email on ipad,MEDIUM
netwrix auditor inactive users in active directory report mocr otsuka com,MEDIUM
nokia ff support grn copies not delivered to subcon edge,LOW
ad account locked,MEDIUM
mailbox client issue,MEDIUM
created webex account for user,MEDIUM
software fmo laptop s lan port suddenly not working,LOW
otm order release not generated correctly,LOW
hr sox to swap the bot creator license including metabot from rfiaapac to rfiaapae user name,LOW
veeva hcp account pamela summers shows abilify maintena as a restricted product her licensed has been verfied and she does treat appropriate pati,MEDIUM
please push laps software to the below objects,CRITICAL
data missing in the quote name field of copy of auto published nr quote,LOW
cannot login to hvd,LOW
hp printing unable to print,LOW
fw mid way evaluation query clinical sgop samsca tab nda by feb psur request,MEDIUM
empty list of applicaitons in software center,LOW
functional mailbox add delete access rights,LOW
virtual pc rdp inquiry or issue,LOW
it corner concierge,LOW
user ristanto corphr nokia com getting sso error – starting position out of bounds,LOW
can t open up orion,MEDIUM
it corner concierge,LOW
please reset mfa for user viktoriya kirillova cchellenic com,MEDIUM
hardware laptop keys not working,LOW
pc found in ad not in it service portal,LOW
blue prism connection issue,HIGH
p nun nokia security risk found on host,MEDIUM
user cannot access to portal oscar pedraza telefonica com,LOW
hclotsuka service now com confirm ownership,MEDIUM
hu user access,MEDIUM
cdb issue with contract transfer,MEDIUM
om profiles parameters query groups for ekaterina karelina elena antsyferova,MEDIUM
disable voiceover mode on ipad,MEDIUM
not able login to support portal iglyamshin beeline kz,LOW
qa account password reset,LOW
sd no info byod authentciation issue,LOW
ee mainframe fdr maintenance previous ticket,LOW
it corner concierge,LOW
plan accdves to be processed,LOW
cares all other issues,LOW
share point access,LOW
nokiameetings cannot log in to webex auto account creation failed,LOW
csl cil account inactive,LOW
p nun nokia recon aggressive local scanner detected preceded by p nun nokia recon excessive firewall denies from local host preceded by,MEDIUM
jabber unable to make call,LOW
fnokia case handling qat hws ticketing is red,LOW
at password for hana test scanner,CRITICAL
it editool request new access for angela maiullari,MEDIUM
ch assign ad accesses,MEDIUM
fda esg signing and encryption certificate policy update,MEDIUM
missing actual costs for wbs x xof,LOW
issue jira permission,LOW
software fmo pc restarts giving error appvstreamingux exe has stopped working,LOW
bg requesting access rights for,MEDIUM
hu grant send to access,MEDIUM
re assign ssf,MEDIUM
server emea nsn net net not available,MEDIUM
tm upgrade ref,LOW
it corner concierge,LOW
software unable to access any nokia tools and request for oss to perform upgrade,LOW
vpn only beijing gateway is available,LOW
uscc edi pos did not load from naip to eept,MEDIUM
powerbi how to connect re prt to excel in sharepoint,LOW
reload of pallets master data comapny code,CRITICAL
wrong customer code derived in sl document when booking goods movement transaction,LOW
vpn remote access,LOW
domino accout issue,LOW
at julia stimpfl v fc kam fc kam vereinbarungen access,MEDIUM
ru confiure ap,MEDIUM
pfizer com process the rpcbind process has stopped escalate asap unix,LOW
fw otsuka trainings emilie petit,MEDIUM
sap logon pad app is not launching inside citrix,HIGH
cc assaign and removal rolls,CRITICAL
assign new position to release codes,MEDIUM
cant connect to vpn,LOW
treatnow addition request,MEDIUM
add external people to azure for sharepoint access,LOW
gq edms user access request new account request chen zhaoxin chenzx zjotsuka com,MEDIUM
vpn remote access,LOW
pl change a printform,MEDIUM
desktop persistent europe cannot be started,MEDIUM
rename sales district,MEDIUM
hardware integrated laptop keyboard is not working or some keys are not working,MEDIUM
pgi error report our inability to do pgi today pan nigeria,MEDIUM
cannot unlock screen by ctrl alt delete,LOW
skype for business skype meeting option missing in outlook,MEDIUM
one drive not syncing,MEDIUM
it corner concierge,LOW
ro hr connection portal status enquiry,LOW
unblock user access to wave,CRITICAL
printing from ipad,MEDIUM
it change owner in sahred mailbox mtc italy cchellenic com,MEDIUM
active directory and citrix,MEDIUM
it access sap analytics cloud,MEDIUM
requesting access to various desktops and mail boxes,MEDIUM
workstation black screen and not able to reboot,MEDIUM
hardware speaker in the laptop not working mouse touchpad right click does not always work,LOW
software fmo stuck on automatic repair,LOW
unable to login to cisco jabber failed to start a new session,LOW
facing login issue on secondary account for cover,LOW
servicenow unable to see changes chg coord paas platform as a service middleware,LOW
change primary group of ca cbbci,LOW
p nun nokia recon excessive firewall denies from local host,MEDIUM
delete xml files from import,MEDIUM
cleaning dumpster folder and activating online archive for user natalya zaharova cchellenic com,MEDIUM
it corner concierge,LOW
lat argentina ipm project update spo status to cancelled,LOW
jabber phone services unable to use phone services on jabber,LOW
not responding after reboot attempt,HIGH
cant connect to vpn,MEDIUM
vpn remote access,MEDIUM
my erm robots are failed rrun,MEDIUM
incident group not showing in outlook,LOW
virtual pc icon not available,LOW
jabber phone services jabber voice doesn t work with sip,LOW
cannot hear the voice on skype calls while the other person on call can hear me,HIGH
asign alvaro lee to be possible assigned as cm contract manager in casos lat colombia,LOW
employee not able to book timing in erm,LOW
it corner concierge,LOW
laptop trackpad not responding,LOW
rp nsa unix request,LOW
microsoft teams unable to enable camera,LOW
p nun nokia recon aggressive local scanner detected,MEDIUM
re flexible contract worker it security assessment response requested,MEDIUM
fnokia hardware laptop accidentally removed from domain workgroup request to rejoin machine,MEDIUM
share drive folder lucent com groups ams c cstrain,LOW
homedrive ramp down and vasont,LOW
request for local oss assistance,LOW
jira request to add column to a filter view,LOW
application support portal page not found error,LOW
jabber phone not connecting,MEDIUM
ro software centre unable to install software,LOW
unable to submit a new request in the new atem tool,LOW
powerbi on premise gateway failing to connect to cloud,LOW
re star portal case,MEDIUM
jabber phone jabber phone does not work,LOW
acess to modify deactiave customer en cmd,LOW
ipad usb c to vga adapter request,MEDIUM
hardware laptop screen issue,MEDIUM
validity of account,MEDIUM
pl please grant missing roles to fiori,MEDIUM
hvd cannot start desktop,LOW
fw terminated ad user mehulkumar shah otsuka us com,MEDIUM
p nun nokia x force premium internal connection to host categorized as botnet cnc,MEDIUM
adobe acrobat full access request,MEDIUM
bpp copies of po s needed,LOW
nokia ff support nokia ff support closed for posting wos wo id po id struck in delivery confirmation,LOW
iat tool is not opening mozilla firefox is not visible thugh it is showing installed,LOW
dsta open order status deletion by mistake,LOW
p nun nokia authentication repeat non windows and non wireless login failures,MEDIUM
computer n showing in ad under merce montejo not available in itportal under user name for termination request,LOW
issue with laptop s keyboard and mouse,LOW
request fro adobe acrobat pro,MEDIUM
password sync and zscaler issues,MEDIUM
mfa applications authentication using mfa ciscoanyconnect vpn,LOW
no access to the case handling cares registration error,MEDIUM
delete i doc,MEDIUM
scaleup need to add email id antti lajoma nokia com in to the non brazil reporting,LOW
it corner concierge,LOW
pc re installation,LOW
error message certificate validation failure,LOW
user maria sandoval bell ca facing sso error unable to login sp,LOW
p nun nokia soar security risk found on host,MEDIUM
access to weblib does not work,LOW
it corner concierge,LOW
dn not reached to otm from sap,LOW
hcp has no products,MEDIUM
file share unable to connect to lucent com groups emea a alu sdx after windows upgrade,LOW
it corner concierge,LOW
sap jam credentials,MEDIUM
change role spc user to spc supervisor,MEDIUM
gr special pc,CRITICAL
microsoft visio is not installing,LOW
